iter	Logloss
235	0.3868821203
236	0.3866868679
237	0.3865431002
238	0.3863575302
239	0.386205998
240	0.3860306245
241	0.3857604589
242	0.3855651753
243	0.3854437657
244	0.3852101517
245	0.3850149549
246	0.3849423413
247	0.3847934202
248	0.384570678
249	0.3845015235
250	0.3844019832
251	0.3842537066
252	0.3840165485
253	0.3838395192
254	0.3836395449
255	0.3834510074
256	0.3832800871
257	0.3830821383
258	0.382906502
259	0.3826864056
260	0.3826259891
261	0.3824494658
262	0.3823253122
263	0.3820340012
264	0.3818569664
265	0.3817133507
266	0.381595243
267	0.38138557
268	0.3811724676
269	0.3810333218
270	0.3809367146
271	0.3807293863
272	0.3806450765
273	0.3805295032
274	0.3803331012
275	0.3801638927
276	0.3799603621
277	0.3797599813
278	0.3795632629
279	0.3794914576
280	0.3792616961
281	0.3790339107
282	0.3788683187
283	0.3786750519
284	0.3785422443
285	0.3783153549
286	0.3780916258
287	0.3779837875
288	0.3778058604
289	0.3776722586
290	0.3774315189
291	0.3772455583
292	0.3770996058
293	0.3768480641
294	0.376633289
295	0.3764170868
296	0.3762786986
297	0.3760898361
298	0.375908288
299	0.3757640771
300	0.3755631093
301	0.3754199243
302	0.3752138813
303	0.3751429853
304	0.3749442148
305	0.37476863
306	0.3745452973
307	0.374397367
308	0.3742600416
309	0.3741375301
310	0.3740101029
311	0.3738488992
312	0.3736881191
313	0.3735577072
314	0.3734348731
315	0.3732796199
316	0.3731044027
317	0.3729674654
318	0.3727817337
319	0.3725153917
320	0.3723341592
321	0.3721866052
322	0.3720210212
323	0.3718682388
324	0.3717017769
325	0.3715154068
326	0.3712796903
327	0.3711167294
328	0.3709212487
329	0.3707495031
330	0.3706267953
331	0.3704369501
332	0.3702942724
333	0.3701674995
334	0.369980823
335	0.3698110092
336	0.3696820868
337	0.3695233248
338	0.3694170206
339	0.3693310512
340	0.3691707682
341	0.3690458146
342	0.3689252661
343	0.3688159298
344	0.3686221791
345	0.3685077136
346	0.3683647449
347	0.3681862036
348	0.368173103
349	0.3679415562
350	0.3677278835
351	0.3675485878
352	0.3673329714
353	0.3671729869
354	0.3671122274
355	0.3670566146
356	0.3669141408
357	0.3667602061
358	0.3666479789
359	0.3665477203
360	0.3664340519
361	0.3663092364
362	0.3660935109
363	0.3659798427
364	0.3658495947
365	0.3657295506
366	0.3656359977
367	0.365415873
368	0.3652698394
369	0.3651250203
370	0.3649602369
371	0.3647505025
372	0.3646580384
373	0.3645420369
374	0.3644283434
375	0.3643201406
376	0.3642160751
377	0.3639637582
378	0.3638580966
379	0.3636907379
380	0.3635629964
381	0.3634779429
382	0.3633654017
383	0.3632248681
384	0.3631707761
385	0.3629439923
386	0.3627657672
387	0.3626124756
388	0.3625227624
389	0.3624410392
390	0.3623458296
391	0.3622196371
392	0.3620140274
393	0.3618806831
394	0.3616887397
395	0.3614824438
396	0.3613518733
397	0.3611839622
398	0.3610832303
399	0.3608413311
400	0.3606352626
401	0.3604543239
402	0.3603520247
403	0.3602389423
404	0.3601605712
405	0.3600385382
406	0.359826957
407	0.359649978
408	0.3594398904
409	0.3593331182
410	0.3591867677
411	0.3590008793
412	0.3587705226
413	0.3585988334
414	0.3584909648
415	0.3583597277
416	0.3581931556
417	0.358111182
418	0.3580194678
419	0.3578473494
420	0.35758447
421	0.3574591301
422	0.3572643499
423	0.3571861577
424	0.3570279414
425	0.3569742042
426	0.3568662176
427	0.356755194
428	0.3565865456
429	0.3564047738
430	0.3561896258
431	0.3560920632
432	0.3559356293
433	0.3557379617
434	0.3556242853
435	0.3555144645
436	0.3553864849
437	0.3552501097
438	0.3550652276
439	0.3549313086
440	0.3547361376
441	0.3546313807
442	0.3545076983
443	0.3542440757
444	0.3541974201
445	0.3540804025
446	0.353962558
447	0.3537817371
448	0.3536381253
449	0.3534731565
450	0.3533910766
451	0.3532326899
452	0.3530475897
453	0.3528311374
454	0.3528298428
455	0.3526492927
456	0.3526426126
457	0.3525555205
458	0.3524132487
459	0.3522216926
460	0.3521058288
461	0.3519012736
462	0.3517281694
463	0.351637189
464	0.3515491746
465	0.3513540837
466	0.3512649195
467	0.3512079916
468	0.3512067441
469	0.351046881
470	0.3509581295
471	0.3508116131
472	0.3506626486
473	0.3505459161
474	0.3505164716
475	0.3504185675
476	0.3502563091
477	0.3500509088
478	0.349856943
479	0.3496913069
480	0.3495207096
481	0.3494087481
482	0.3492779619
483	0.3491595073
484	0.3491159096
485	0.348945347
486	0.3489426798
487	0.3488368228
488	0.3487472352
489	0.3486135084
490	0.3484597334
491	0.3483556475
492	0.3481459424
493	0.3479478416
494	0.3477658445
495	0.3476818657
496	0.3475184702
497	0.3474473992
498	0.3472591251
499	0.3470828589
500	0.3469758757
501	0.346837557
502	0.3467543433
503	0.3466537355
504	0.3465293284
505	0.346370269
506	0.3462672934
507	0.3461172775
508	0.3459325039
509	0.3457743204
510	0.3456528962
511	0.3456528901
512	0.3456503052
513	0.3455428967
514	0.345420408
515	0.3453391222
516	0.3452912627
517	0.3451567094
518	0.3449653447
519	0.3448289574
520	0.3448257747
521	0.3446818173
522	0.3445282642
523	0.3443970845
524	0.3443100314
525	0.3441540292
526	0.3441540118
527	0.3439723911
528	0.3438669759
529	0.3436466829
530	0.3435405098
531	0.343441418
532	0.3433767395
533	0.3432209462
534	0.3430336364
535	0.3429053855
536	0.3427974605
537	0.3427192427
538	0.3426729773
539	0.3425743692
540	0.3424228133
541	0.3423691419
542	0.3423142149
543	0.3421315024
544	0.342014883
545	0.3418522081
546	0.3416847082
547	0.341543344
548	0.3413657072
549	0.3411847669
550	0.3411005598
551	0.3410091513
552	0.3410091513
553	0.3408243618
554	0.3408210759
555	0.3407879804
556	0.3407491732
557	0.3406069879
558	0.3405133782
559	0.3403448077
560	0.3401591472
561	0.3400418331
562	0.3399081422
563	0.3397940264
564	0.3396533617
565	0.3395836776
566	0.3393788356
567	0.3392907258
568	0.3391174208
569	0.3390067469
570	0.3389205091
571	0.3388647908
572	0.3387423302
573	0.3385748843
574	0.3384950377
575	0.3384183739
576	0.3382798445
577	0.3381763958
578	0.3379730011
579	0.3378377921
580	0.3378289941
581	0.3377524795
582	0.3376479782
583	0.3375607388
584	0.3373825412
585	0.3372672777
586	0.3371971044
587	0.3370348182
588	0.3369125279
589	0.3367667925
590	0.3366416681
591	0.3366285845
592	0.3364624801
593	0.336285734
594	0.336132662
595	0.3360927529
596	0.3359781513
597	0.335874139
598	0.3358172362
599	0.3357550481
600	0.3355829052
601	0.3353912444
602	0.3352711778
603	0.3352221448
604	0.3350785017
605	0.3349503501
606	0.3348721498
607	0.3347576148
608	0.3345798985
609	0.3344367564
610	0.3342414236
611	0.3340926609
612	0.3340572159
613	0.3339726152
614	0.3337904678
615	0.3337223327
616	0.3336902638
617	0.3334898769
618	0.3333491175
619	0.3332480164
620	0.3330931856
621	0.3330897233
622	0.3329275113
623	0.3327519902
624	0.3326571264
625	0.332657044
626	0.3324649031
627	0.3323906532
628	0.332347892
629	0.3321667122
630	0.3320198125
631	0.3318348084
632	0.3316884909
633	0.3315368459
634	0.3312939935
635	0.3311354794
636	0.3310951585
637	0.3310255914
638	0.3309847581
639	0.3308086912
640	0.330629769
641	0.3305142522
642	0.3304171007
643	0.3302921784
644	0.3302118543
645	0.3302091107
646	0.3301355284
647	0.3300349244
648	0.3299358012
649	0.3298591167
650	0.3298037081
651	0.3297221336
652	0.3295832807
653	0.3294238325
654	0.3293046129
655	0.3292028885
656	0.3290563671
657	0.3289677317
658	0.3288102489
659	0.3287286296
660	0.3285306587
661	0.3283216669
662	0.3281671128
663	0.3280349375
664	0.3279438957
665	0.3278217911
666	0.327698792
667	0.3275159458
668	0.3274296955
669	0.3272886908
670	0.3271538863
671	0.3270403181
672	0.32699988
673	0.3269098208
674	0.3268002334
675	0.3266633328
676	0.3265179914
677	0.3263383386
678	0.3262783525
679	0.3261181589
680	0.325992616
681	0.3258861832
682	0.3257267999
683	0.325596257
684	0.3255314079
685	0.3253752458
686	0.3253000973
687	0.3252925563
688	0.3252045662
689	0.325117623
690	0.3249988824
691	0.3248734432
692	0.324783572
693	0.3246521098
694	0.3245540538
695	0.3243803337
696	0.3242870297
697	0.3241449698
698	0.3240656151
699	0.3238853136
700	0.3236880757
701	0.3235937703
702	0.3234479464
703	0.3233119482
704	0.3231693229
705	0.3230511528
706	0.3229054353
707	0.3228335096
708	0.3226609317
709	0.3224901765
710	0.3224010065
711	0.3222226519
712	0.3220673889
713	0.3219443274
714	0.3218558673
715	0.321757741
716	0.3216421284
717	0.321579642
718	0.3215102962
719	0.3214298592
720	0.3212746641
721	0.3212441083
722	0.321171955
723	0.3210046864
724	0.3208917356
725	0.3208101098
726	0.3206855222
727	0.3206262094
728	0.3204459247
729	0.3203202266
730	0.3202517143
731	0.3201515596
732	0.3200182857
733	0.3199021899
734	0.3198263567
735	0.3197248904
736	0.3195703085
737	0.319451914
738	0.3192729802
739	0.3191888577
740	0.319021774
741	0.3188856376
742	0.3187345198
743	0.3186467163
744	0.318469567
745	0.3184048108
746	0.3183423854
747	0.3181987712
748	0.3180298854
749	0.3179323013
750	0.3177638486
751	0.3176675172
752	0.3175635088
753	0.3175082674
754	0.3173447229
755	0.3172395217
756	0.31706996
757	0.316986802
758	0.3168573756
759	0.3167334904
760	0.3165936654
761	0.3165002466
762	0.3163645338
763	0.3162060187
764	0.3161650263
765	0.3161171486
766	0.3160560722
767	0.315954338
768	0.315900441
769	0.3157818448
770	0.3157101945
771	0.3156330561
772	0.3155524125
773	0.315486556
774	0.3153801211
775	0.3152273464
776	0.3151470963
777	0.3149753092
778	0.3149744313
779	0.3148291839
780	0.3147180636
781	0.3146141558
782	0.3144516992
783	0.3143838474
784	0.3143179515
785	0.3142984655
786	0.3142630492
787	0.3141156756
788	0.3140227997
789	0.3139078898
790	0.3137719955
791	0.3137364238
792	0.3135847165
793	0.3134343742
794	0.3133637728
795	0.3132457855
796	0.313090766
797	0.3129860475
798	0.3128479203
799	0.312781852
800	0.3126276098
801	0.3125194578
802	0.3125022124
803	0.3123108485
804	0.3122495013
805	0.312237083
806	0.3121171582
807	0.3120008781
808	0.311917322
809	0.3117785104
810	0.311683725
811	0.3115199189
812	0.3114879711
813	0.3113358065
814	0.3111681088
815	0.3110465488
816	0.3108870045
817	0.310801475
818	0.3107297
819	0.3105979006
820	0.3104567479
821	0.3104013773
822	0.3102546327
823	0.3101737953
824	0.3101301405
825	0.3101297379
826	0.3099985492
827	0.3098659962
828	0.3098013553
829	0.3096836844
830	0.3096447779
831	0.3094761506
832	0.3093731215
833	0.3092903326
834	0.3091586859
835	0.3090213245
836	0.3088224001
837	0.3087330263
838	0.3086668089
839	0.3086390483
840	0.3086301749
841	0.3085633034
842	0.308535504
843	0.3083950222
844	0.3082466815
845	0.3081426544
846	0.3080827164
847	0.3079243568
848	0.3078951938
849	0.3077735618
850	0.3077164659
851	0.3076036149
852	0.3074613274
853	0.3073928336
854	0.3073093703
855	0.3071965163
856	0.3071739843
857	0.3070593776
858	0.3069821672
859	0.3068098529
860	0.3066629819
861	0.3065330614
862	0.306447788
863	0.3063624126
864	0.306217188
865	0.3060996754
866	0.3060701278
867	0.3059146378
868	0.3058513998
869	0.3057622187
870	0.3056943303
871	0.3056524419
872	0.3055322954
873	0.3054659231
874	0.3053415859
875	0.3051895342
876	0.305009095
877	0.3049035525
878	0.3048290011
879	0.3047361218
880	0.3046485492
881	0.3045656151
882	0.3044452043
883	0.3043055855
884	0.3042280061
885	0.304164362
886	0.3040678355
887	0.3039826322
888	0.3039488584
889	0.3039007791
890	0.3037720958
891	0.3036924036
892	0.303592639
893	0.303500004
894	0.3033855464
895	0.3032784895
896	0.3031098441
897	0.3030283518
898	0.30290242
899	0.3027346116
900	0.3026098145
901	0.302505962
902	0.3023492985
903	0.3022116306
904	0.302061678
905	0.3018977077
906	0.3017238846
907	0.3017169414
908	0.3015763023
909	0.3014815837
910	0.3013657217
911	0.3012720425
912	0.3011536619
913	0.3010955432
914	0.3010942812
915	0.3010052804
916	0.3008690543
917	0.3007474973
918	0.3007170067
919	0.3005923123
920	0.3004707063
921	0.3004216138
922	0.3003484784
923	0.3003226118
924	0.3002452594
925	0.3001401322
926	0.3000947012
927	0.3000734746
928	0.2999752797
929	0.2999717711
930	0.2998651414
931	0.2998213945
932	0.2997359323
933	0.2996438972
934	0.2995226702
935	0.2994463573
936	0.2993831552
937	0.2993587769
938	0.2993366077
939	0.2992172742
940	0.299118898
941	0.2990567809
942	0.2989584235
943	0.2988326232
944	0.2986767715
945	0.2986718227
946	0.2985970823
947	0.2984626119
948	0.2983396513
949	0.2982799875
950	0.2982350182
951	0.2981728152
952	0.2980583841
953	0.2979425782
954	0.2979205147
955	0.2977341519
956	0.2976092942
957	0.2974519321
958	0.2973606442
959	0.2972579604
960	0.2971201746
961	0.2970498301
962	0.2969366864
963	0.2968112568
964	0.2968111915
965	0.2966707458
966	0.296585796
967	0.2964402775
968	0.2963968352
969	0.2962840326
970	0.2962337391
971	0.2961793857
972	0.2960414845
973	0.2959484467
974	0.295776431
975	0.295676904
976	0.2955869206
977	0.2954830705
978	0.2953295297
979	0.2952399415
980	0.2951452081
981	0.295105671
982	0.2950515871
983	0.2949293781
984	0.2948717691
985	0.2947056068
986	0.2946436357
987	0.2945830232
988	0.2944282834
989	0.2943526872
990	0.2942822862
991	0.2941878084
992	0.2940946938
993	0.2939706982
994	0.2938603823
995	0.2937575134
996	0.2936264469
997	0.2935257329
998	0.2933694563
999	0.293329297
