iter	Passed	Remaining
405	6216	9094
406	6232	9080
407	6247	9064
408	6262	9048
409	6275	9030
410	6290	9015
411	6308	9002
412	6325	8990
413	6339	8973
414	6354	8957
415	6368	8940
416	6384	8925
417	6399	8910
418	6414	8894
419	6428	8877
420	6442	8860
421	6456	8842
422	6470	8826
423	6485	8810
424	6500	8794
425	6519	8784
426	6534	8768
427	6548	8752
428	6565	8738
429	6582	8724
430	6594	8705
431	6608	8689
432	6622	8671
433	6636	8654
434	6650	8638
435	6664	8621
436	6679	8605
437	6693	8588
438	6709	8574
439	6726	8561
440	6741	8545
441	6755	8528
442	6768	8509
443	6782	8493
444	6796	8475
445	6810	8459
446	6826	8444
447	6842	8430
448	6857	8415
449	6871	8398
450	6883	8379
451	6898	8364
452	6914	8349
453	6928	8332
454	6941	8314
455	6956	8298
456	6973	8285
457	6988	8270
458	7005	8257
459	7020	8241
460	7034	8225
461	7046	8205
462	7060	8188
463	7074	8171
464	7089	8156
465	7104	8141
466	7121	8128
467	7136	8112
468	7149	8094
469	7162	8077
470	7175	8059
471	7189	8042
472	7204	8026
473	7219	8011
474	7234	7995
475	7249	7980
476	7262	7962
477	7276	7945
478	7291	7930
479	7305	7914
480	7320	7898
481	7334	7882
482	7351	7869
483	7370	7857
484	7384	7840
485	7399	7825
486	7414	7810
487	7428	7793
488	7441	7776
489	7455	7759
490	7470	7744
491	7484	7727
492	7498	7711
493	7513	7695
494	7530	7682
495	7545	7667
496	7557	7649
497	7570	7631
498	7585	7615
499	7600	7600
500	7613	7583
501	7628	7567
502	7644	7553
503	7659	7537
504	7674	7522
505	7689	7506
506	7702	7489
507	7716	7473
508	7749	7475
509	7776	7471
510	7798	7462
511	7814	7447
512	7829	7432
513	7849	7422
514	7864	7406
515	7878	7390
516	7892	7373
517	7908	7358
518	7922	7342
519	7937	7327
520	7953	7312
521	7971	7299
522	7986	7284
523	8000	7267
524	8013	7250
525	8028	7234
526	8039	7215
527	8055	7200
528	8069	7185
529	8086	7171
530	8100	7154
531	8113	7137
532	8127	7120
533	8141	7104
534	8157	7089
535	8172	7074
536	8187	7059
537	8204	7045
538	8220	7030
539	8233	7014
540	8248	6998
541	8260	6980
542	8273	6963
543	8290	6949
544	8304	6933
545	8318	6916
546	8331	6900
547	8347	6885
548	8367	6873
549	8384	6860
550	8399	6844
551	8414	6829
552	8421	6807
553	8437	6792
554	8466	6788
